0,Car Dealers,Warszawa,Akacjowa 984,+48 453291747,cardealers_warszawa@skoda.pl
1,Automotive Group,Warszawa,Lakowa 526,+48 417585808,automotivegroup_warszawa@skoda.pl
2,Auto Martin,Warszawa,Szkolna 652,+48 662745883,automartin_warszawa@skoda.pl
3,Universal Auto Group,Warszawa,Kolejowa 848,+48 661630521,universalautogroup_warszawa@skoda.pl
4,Royal Auto,Krakow,Kolejowa 440,+48 194887963,royalauto_krakow@skoda.pl
5,Toyopet,Krakow,Akacjowa 692,+48 865253748,toyopet_krakow@skoda.pl
6,Auto Smart,Krakow,Krotka 874,+48 373620294,autosmart_krakow@skoda.pl
7,Auto Trader Company,Lodz,Krotka 965,+48 245010789,autotradercompany_lodz@skoda.pl
8,National Motors,Wroclaw,Lipowa 756,+48 338431147,nationalmotors_wroclaw@skoda.pl
9,Zawada,Poznan,Lakowa 975,+48 512219299,zawada_poznan@skoda.pl
10,Automotive Group,Gdansk,Polna 843,+48 162610058,automotivegroup_gdansk@skoda.pl
11,Miroslaw Motors,Szczecin,Krotka 679,+48 250517939,miroslawmotors_szczecin@skoda.pl
12,Auto Smart,Bydgoszcz,Akacjowa 25,+48 609796930,autosmart_bydgoszcz@skoda.pl
13,AutoHouse,Lublin,Zielona 73,+48 147383329,autohouse_lublin@skoda.pl
14,National Motors,Bialystok,Lakowa 233,+48 534125435,nationalmotors_bialystok@skoda.pl
15,Wonder Cars,Katowice,Koscielna 549,+48 520249003,wondercars_katowice@skoda.pl
16,Auto Smart,Gdynia,Kolejowa 610,+48 689511833,autosmart_gdynia@skoda.pl
17,Capital Auto Auction,Czestochowa,Kolejowa 985,+48 467671509,capitalautoauction_czestochowa@skoda.pl
18,CarMax,Radom,Koscielna 611,+48 436606537,carmax_radom@skoda.pl
19,Automotive Group,Torun,Kolejowa 496,+48 385239118,automotivegroup_torun@skoda.pl
20,Road Motors,Sosnowiec,Sosnowa 810,+48 853748480,roadmotors_sosnowiec@skoda.pl
21,Pol Mot,Rzeszow,Sloneczna 829,+48 410673918,polmot_rzeszow@skoda.pl
22,Car Dealers,Kielce,Lipowa 667,+48 670459685,cardealers_kielce@skoda.pl
23,Zawada,Gliwice,Zielona 450,+48 854034371,zawada_gliwice@skoda.pl
24,Royal Auto,Olsztyn,Sloneczna 42,+48 602625789,royalauto_olsztyn@skoda.pl
25,Bracia M,Zabrze,Brzozowa 291,+48 459509700,braciam_zabrze@skoda.pl
26,Auto Martin,Bielsko-Biala,Zielona 868,+48 731188519,automartin_bielsko-biala@skoda.pl
27,Go Motors,Bytom,Ogrodowa 55,+48 860734235,gomotors_bytom@skoda.pl
28,Royal Auto,Zielona Gora,Szkolna 804,+48 660301518,royalauto_zielonagora@skoda.pl
29,Select Motors,Rybnik,Akacjowa 438,+48 155690539,selectmotors_rybnik@skoda.pl
30,Universal Auto Group,Ruda Slaska,Lakowa 22,+48 161586533,universalautogroup_rudaslaska@skoda.pl
31,Wonder Cars,Opole,Lipowa 352,+48 241171979,wondercars_opole@skoda.pl
32,Pol Mot,Tychy,Brzozowa 552,+48 712661374,polmot_tychy@skoda.pl
33,CarMax,Gorzow Wielkopolski,Lakowa 837,+48 875822267,carmax_gorzowwielkopolski@skoda.pl
34,Bracia M,Elblag,Sosnowa 637,+48 335214324,braciam_elblag@skoda.pl
35,Best Motors,Plock,Krotka 252,+48 318990793,bestmotors_plock@skoda.pl
36,Automotive Group,Dabrowa Gornicza,Kolejowa 5,+48 288651663,automotivegroup_dabrowagornicza@skoda.pl
37,Best Motors,Walbrzych,Kolejowa 518,+48 459026640,bestmotors_walbrzych@skoda.pl
38,Pol Mot,Wloclawek,Kolejowa 797,+48 592222962,polmot_wloclawek@skoda.pl
39,Wonder Cars,Tarnow,Brzozowa 303,+48 583691596,wondercars_tarnow@skoda.pl
40,Car Dealers,Chorzow,Lipowa 71,+48 767086042,cardealers_chorzow@skoda.pl
41,Miroslaw Motors,Koszalin,Kwiatowa 569,+48 589459906,miroslawmotors_koszalin@skoda.pl
42,Universal Auto Group,Kalisz,Szkolna 224,+48 218284676,universalautogroup_kalisz@skoda.pl
43,Toyopet,Legnica,Krotka 160,+48 432840024,toyopet_legnica@skoda.pl
44,National Motors,Grudziadz,Kolejowa 727,+48 128419717,nationalmotors_grudziadz@skoda.pl
45,Auto Smart,Jaworzno,Parkowa 829,+48 541283845,autosmart_jaworzno@skoda.pl
